Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Lausanne 25;1000;25;125;Lausanne;5586;VD;100%;6.682196168325835;46.55956189112911;fr;01.07.2008
Lausanne 26;1000;26;126;Lausanne;5586;VD;100%;6.695945346653699;46.554578943900474;fr;01.07.2008
Lausanne 27;1000;27;127;Lausanne;5586;VD;100%;6.681736656357112;46.542097581525205;fr;01.07.2008
Lausanne;1003;00;150;Lausanne;5586;VD;100%;6.631889939736285;46.520568420793055;fr;01.07.2008
Lausanne;1004;00;151;Lausanne;5586;VD;100%;6.618662406135503;46.52828218906587;fr;01.07.2008
Lausanne;1005;00;152;Lausanne;5586;VD;100%;6.642767210311616;46.520888147719276;fr;01.07.2008
Lausanne;1006;00;153;Lausanne;5586;VD;100%;6.633777063120928;46.512863192411494;fr;01.07.2008
Lausanne;1007;00;154;Lausanne;5586;VD;100%;6.613581143143201;46.51789984112268;fr;01.07.2008
Prilly;1008;00;156;Prilly;5589;VD;100%;6.604480669356251;46.536761096406835;fr;01.07.2008
Jouxtens-Mézery;1008;02;5852;Jouxtens-Mézery;5585;VD;100%;6.595168883379037;46.54953871377771;fr;01.07.2008
Pully;1009;00;157;Pully;5590;VD;100%;6.660755255631781;46.512502664249396;fr;01.07.2008
Lausanne;1010;00;158;Lausanne;5586;VD;100%;6.652418212716733;46.53742721167361;fr;01.07.2008
Lausanne;1011;00;159;Lausanne;5586;VD;100%;6.643951538;46.525430465313775;fr;01.07.2008
Lausanne;1012;00;160;Lausanne;5586;VD;100%;6.654688705860694;46.52649473363582;fr;01.07.2008
Lausanne;1015;00;163;Ecublens (VD);5635;VD;84.03%;6.5667170264870975;46.51963643082917;fr;01.07.2008
Lausanne;1015;00;163;Saint-Sulpice (VD);5648;VD;8.33%;6.584587844328571;46.519403529867574;fr;01.07.2008
Lausanne;1015;00;163;Chavannes-près-Renens;5627;VD;7.64%;6.584310743;46.52291893205492;fr;01.07.2008
Lausanne;1018;00;164;Lausanne;5586;VD;100%;6.629456814023411;46.53510674300492;fr;01.07.2008
Renens VD;1020;00;165;Renens (VD);5591;VD;100%;6.589432084021981;46.537890947170645;fr;01.07.2008
Chavannes-près-Renens;1022;00;168;Chavannes-près-Renens;5627;VD;100%;6.575252591297912;46.531909477890046;fr;01.07.2008
Crissier;1023;00;169;Crissier;5583;VD;99.15%;6.577555613225668;46.55344572883954;fr;01.07.2008
Crissier;1023;00;169;Lausanne;5586;VD;0.85%;6.589569651957258;46.55900585995713;fr;01.07.2008
Ecublens VD;1024;00;170;Ecublens (VD);5635;VD;100%;6.559879163881748;46.524999363805435;fr;01.07.2008
St-Sulpice VD;1025;00;171;Saint-Sulpice (VD);5648;VD;100%;6.562448672223655;46.51282043804615;fr;01.07.2008
Denges;1026;02;5854;Denges;5632;VD;100%;6.539672380971541;46.52058586647807;fr;01.07.2008
Echandens;1026;03;6230;Echandens;5633;VD;100%;6.541925424678625;46.53560933492887;fr;01.07.2008
Lonay;1027;00;174;Lonay;5638;VD;100%;6.519084335310371;46.52652031;fr;01.07.2008
Préverenges;1028;00;175;Préverenges;5643;VD;100%;6.5287901177136645;46.51594703782082;fr;01.07.2008
Villars-Ste-Croix;1029;00;5616;Villars-Sainte-Croix;5651;VD;100%;6.5635865333865295;46.567309919939994;fr;01.07.2008
Bussigny;1030;00;178;Bussigny;5624;VD;100%;6.555089565518322;46.55169876815259;fr;01.05.2014
Mex VD;1031;00;5614;Mex (VD);5489;VD;98.53%;6.561135058562692;46.57689887894324;fr;01.07.2008
Mex VD;1031;00;5614;Vufflens-la-Ville;5503;VD;1.47%;6.550752943803952;46.56563596919536;fr;01.07.2008
Romanel-sur-Lausanne;1032;00;179;Romanel-sur-Lausanne;5592;VD;80.85%;6.603893860760366;46.56293542425673;fr;01.07.2008
Romanel-sur-Lausanne;1032;00;179;Lausanne;5586;VD;19.15%;6.611271626222046;46.57085094617055;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;00;180;Cheseaux-sur-Lausanne;5582;VD;92.49%;6.605139257998019;46.585344820550894;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;00;180;Lausanne;5586;VD;6.66%;6.60865548;46.57899235237496;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;00;180;Crissier;5583;VD;0.85%;6.586711130737487;46.573216292106444;fr;01.07.2008
Boussens;1034;00;205;Boussens;5473;VD;100%;6.584383587114243;46.60325477937721;fr;01.07.2008
Bournens;1035;00;206;Bournens;5472;VD;100%;6.5627839245908355;46.60393597197743;fr;01.07.2008
Sullens;1036;00;207;Sullens;5501;VD;100%;6.566563889275022;46.59214414698939;fr;01.07.2008
Etagnières;1037;00;182;Etagnières;5521;VD;100%;6.613076138773061;46.60046219456636;fr;01.07.2008
Bercher;1038;00;183;Bercher;5512;VD;99.18%;6.70823336;46.69122593581566;fr;01.07.2008
Bercher;1038;00;183;Montanaire;5693;VD;0.66%;6.718069777955311;46.695723612645175;fr;01.07.2008
Bercher;1038;00;183;Boulens;5661;VD;0.17%;6.717577203189286;46.69540563726623;fr;01.07.2008
Echallens;1040;00;185;Echallens;5518;VD;100%;6.634816350246784;46.64102820283961;fr;01.07.2008
Villars-le-Terroir;1040;02;194;Villars-le-Terroir;5537;VD;100%;6.639080311572197;46.65560479023315;fr;01.07.2008
St-Barthélemy VD;1040;03;191;Saint-Barthélemy (VD);5535;VD;100%;6.601965326810482;46.63607728146013;fr;01.07.2008
Dommartin;1041;21;196;Montilliez;5540;VD;100%;6.701325062783383;46.64863973;fr;01.07.2008
Montaubion-Chardonney;1041;22;5858;Jorat-Menthue;5804;VD;100%;6.712046606;46.64597399807561;fr;01.07.2008
Naz;1041;26;5847;Montilliez;5540;VD;100%;6.695550656202952;46.65815581661537;fr;01.07.2008
Poliez-le-Grand;1041;31;199;Montilliez;5540;VD;100%;6.663933250703376;46.637173147798556;fr;01.07.2008
Poliez-Pittet;1041;32;200;Poliez-Pittet;5533;VD;100%;6.683144598968404;46.62788367847137;fr;01.07.2008
Bottens;1041;33;201;Bottens;5514;VD;100%;6.660720813;46.61631651184051;fr;01.07.2008
Assens;1042;00;208;Assens;5511;VD;100%;6.62359705;46.612475903444995;fr;01.07.2008
Bioley-Orjulaz;1042;03;213;Assens;5511;VD;100%;6.597417547461544;46.62034560057727;fr;01.07.2008
Bettens;1042;04;193;Bettens;5471;VD;100%;6.5767296730171925;46.626469872001266;fr;01.07.2008
Sugnens;1043;00;209;Montilliez;5540;VD;100%;6.672146065921565;46.65570651358955;fr;01.07.2008
Fey;1044;00;210;Fey;5522;VD;100%;6.6827340899894105;46.67488474993313;fr;01.07.2008
Ogens;1045;00;211;Ogens;5680;VD;98.30%;6.7240160811510625;46.71070322142858;fr;01.07.2008
Ogens;1045;00;211;Bioley-Magnoux;5903;VD;1.70%;6.730947350856542;46.71967039;fr;01.07.2008
Rueyres;1046;00;624;Rueyres;5534;VD;100%;6.694547165193202;46.693943983079244;fr;01.07.2008
Oppens;1047;00;5883;Oppens;5923;VD;100%;6.693901238862546;46.71418949412431;fr;01.07.2008
Le Mont-sur-Lausanne;1052;00;214;Le Mont-sur-Lausanne;5587;VD;100%;6.634574958694907;46.55383694374962;fr;01.07.2008
Cugy VD;1053;00;215;Cugy (VD);5516;VD;89.51%;6.641541008017889;46.584598561362675;fr;01.07.2008
Cugy VD;1053;00;215;Lausanne;5586;VD;10.49%;6.658595803346203;46.591724868711104;fr;01.07.2008
Bretigny-sur-Morrens;1053;02;202;Bretigny-sur-Morrens;5515;VD;100%;6.642163668680892;46.59634274768071;fr;01.07.2008
Morrens VD;1054;00;216;Morrens (VD);5527;VD;100%;6.627380392367454;46.59093047234465;fr;01.07.2008
Froideville;1055;00;217;Froideville;5523;VD;100%;6.681678833246961;46.60112891106894;fr;01.07.2008
Villars-Tiercelin;1058;00;233;Jorat-Menthue;5804;VD;100%;6.705484225760009;46.62616781683719;fr;01.07.2008
Peney-le-Jorat;1059;00;234;Jorat-Menthue;5804;VD;97.73%;6.728857357267462;46.632127548502396;fr;01.07.2008
Peney-le-Jorat;1059;00;234;Hermenches;5673;VD;2.27%;6.741001158;46.63928250118014;fr;01.07.2008
Villars-Mendraz;1061;00;235;Jorat-Menthue;5804;VD;100%;6.728775123;46.646313570454474;fr;01.07.2008
Sottens;1062;00;236;Jorat-Menthue;5804;VD;100%;6.741914296036963;46.65554365876065;fr;01.07.2008
Chapelle-sur-Moudon;1063;00;237;Montanaire;5693;VD;100%;6.736257793236461;46.66954242443032;fr;01.07.2008
Martherenges;1063;02;5857;Montanaire;5693;VD;100%;6.753407418605504;46.66098402971616;fr;01.07.2008
Boulens;1063;03;198;Boulens;5661;VD;100%;6.719843204178829;46.68137741880406;fr;01.07.2008
Peyres-Possens;1063;04;197;Montanaire;5693;VD;96.30%;6.707252357631969;46.66140723210443;fr;01.07.2008
Peyres-Possens;1063;04;197;Jorat-Menthue;5804;VD;3.70%;6.7187368266823215;46.66048196572256;fr;01.07.2008
Epalinges;1066;00;221;Epalinges;5584;VD;100%;6.667981670497247;46.54944471503879;fr;01.07.2008
Les Monts-de-Pully;1068;00;7007;Pully;5590;VD;100%;6.690259630144811;46.53670253280756;fr;01.07.2008
Puidoux;1070;00;786;Puidoux;5607;VD;99.76%;6.777006991968095;46.49792938937366;fr;01.07.2008
Puidoux;1070;00;786;Bourg-en-Lavaux;5613;VD;0.24%;6.754742563582638;46.50425635687299;fr;01.07.2008
Chexbres;1071;00;788;Chexbres;5601;VD;99.45%;6.778788037273422;46.48221489;fr;01.07.2008
Chexbres;1071;00;788;Rivaz;5609;VD;0.56%;6.779045286265032;46.47927471437275;fr;01.07.2008
Rivaz;1071;01;1060;Rivaz;5609;VD;98.84%;6.779163449499992;46.47599188678675;fr;01.07.2008
Rivaz;1071;01;1060;Puidoux;5607;VD;1.16%;6.777288355317762;46.47492843460778;fr;01.07.2008
St-Saphorin (Lavaux);1071;02;1061;Saint-Saphorin (Lavaux);5610;VD;100%;6.794487459643387;46.476169991056835;fr;01.07.2008
Forel (Lavaux);1072;00;789;Forel (Lavaux);5604;VD;100%;6.763205910162061;46.53593679016332;fr;01.07.2008
Savigny;1073;00;222;Savigny;5611;VD;100%;6.722668944621099;46.541499611498104;fr;01.07.2008
Mollie-Margot;1073;02;239;Savigny;5611;VD;100%;6.746742934672436;46.555178851504586;fr;01.07.2008
Ferlens VD;1076;00;248;Jorat-Mézières;5806;VD;100%;6.786183620147927;46.58811249587349;fr;01.07.2008
Servion;1077;00;249;Servion;5799;VD;100%;6.781510889726363;46.57322434832331;fr;01.07.2008
Essertes;1078;00;250;Oron;5805;VD;100%;6.786675187656863;46.561460514878846;fr;01.07.2008
Les Cullayes;1080;00;240;Servion;5799;VD;99.62%;6.7542971512465515;46.57340541080434;fr;01.07.2008
Les Cullayes;1080;00;240;Forel (Lavaux);5604;VD;0.38%;6.759800346343573;46.56524317260549;fr;01.07.2008
Montpreveyres;1081;00;241;Montpreveyres;5792;VD;100%;6.738938406727813;46.58083239165162;fr;01.07.2008
Corcelles-le-Jorat;1082;00;242;Corcelles-le-Jorat;5785;VD;100%;6.738880536403195;46.60643442528399;fr;01.07.2008
Mézières VD;1083;00;223;Jorat-Mézières;5806;VD;100%;6.771253889474367;46.59463771229962;fr;01.07.2008
Carrouge VD;1084;00;244;Jorat-Mézières;5806;VD;99.82%;6.773169229162942;46.603347970152186;fr;01.07.2008
Carrouge VD;1084;00;244;Vulliens;5803;VD;0.18%;6.789654345415109;46.600060908436184;fr;01.07.2008
Vulliens;1085;00;245;Vulliens;5803;VD;99.70%;6.7928861669676195;46.622281101968255;fr;01.07.2008
Vulliens;1085;00;245;Rue;2097;FR;0.30%;6.8046555807904605;46.644036327086965;fr;01.07.2008
Ropraz;1088;00;243;Ropraz;5798;VD;100%;6.753497375946746;46.61175913164554;fr;01.07.2008
La Croix (Lutry);1090;00;783;Lutry;5606;VD;99.84%;6.699473046022732;46.516917758140316;fr;01.07.2008
La Croix (Lutry);1090;00;783;Savigny;5611;VD;0.16%;6.716122429779132;46.51823949770408;fr;01.07.2008
Grandvaux;1091;00;784;Bourg-en-Lavaux;5613;VD;99.37%;6.720367492224463;46.49985168582316;fr;01.07.2008
Grandvaux;1091;00;784;Forel (Lavaux);5604;VD;0.63%;6.739889420168393;46.513404648568766;fr;01.07.2008
Aran;1091;01;785;Bourg-en-Lavaux;5613;VD;99.33%;6.712856216;46.503330282886196;fr;01.07.2008
Aran;1091;01;785;Savigny;5611;VD;0.67%;6.720083108888324;46.518309638606134;fr;01.07.2008
Chenaux;1091;03;6194;Bourg-en-Lavaux;5613;VD;100%;6.728912546962146;46.49494871335157;fr;01.07.2008
Belmont-sur-Lausanne;1092;00;224;Belmont-sur-Lausanne;5581;VD;99.75%;6.681717966306878;46.52202735;fr;01.07.2008
Belmont-sur-Lausanne;1092;00;224;Lutry;5606;VD;0.25%;6.692433217484396;46.5246802;fr;01.07.2008
La Conversion;1093;00;225;Lutry;5606;VD;100%;6.685657838730334;46.514254024542424;fr;01.07.2008
Paudex;1094;00;226;Paudex;5588;VD;100%;6.673039283792305;46.50723360898495;fr;01.07.2008
Lutry;1095;00;227;Lutry;5606;VD;99.78%;6.688029477261536;46.505804493568554;fr;01.07.2008
Lutry;1095;00;227;Bourg-en-Lavaux;5613;VD;0.17%;6.706901822700388;46.50144783489919;fr;01.07.2008
Lutry;1095;00;227;Paudex;5588;VD;0.06%;6.675585701147447;46.50867214389593;fr;01.07.2008
Cully;1096;00;228;Bourg-en-Lavaux;5613;VD;94.53%;6.728165846157785;46.48932154931194;fr;01.07.2008
Cully;1096;00;228;Puidoux;5607;VD;5.47%;6.754441896;46.48477830808047;fr;01.07.2008
Villette (Lavaux);1096;02;7949;Bourg-en-Lavaux;5613;VD;100%;6.7090812148052095;46.49440901623422;fr;01.07.2008
Riex;1097;00;229;Bourg-en-Lavaux;5613;VD;100%;6.737340148158341;46.494965175363674;fr;01.07.2008
Epesses;1098;00;230;Bourg-en-Lavaux;5613;VD;95.74%;6.7472521716789755;46.49196743216504;fr;01.07.2008
Epesses;1098;00;230;Puidoux;5607;VD;4.27%;6.756753872710835;46.486303560678856;fr;01.07.2008
Morges;1110;00;254;Morges;5642;VD;100%;6.495722290388374;46.513364979433696;fr;01.07.2008
Echichens;1112;00;259;Echichens;5634;VD;100%;6.498257215563947;46.52795094694424;fr;01.07.2008
St-Saphorin-sur-Morges;1113;00;267;Echichens;5634;VD;100%;6.489230446399372;46.546902859596706;fr;01.07.2008
Colombier VD;1114;00;268;Echichens;5634;VD;100%;6.472982574686603;46.55646378627137;fr;01.07.2008
Vullierens;1115;00;269;Vullierens;5654;VD;100%;6.4834100175464755;46.574481516360706;fr;01.07.2008
Cottens VD;1116;00;270;Hautemorges;5656;VD;100%;6.454542943794708;46.572174915221446;fr;01.07.2008
Grancy;1117;00;271;Grancy;5485;VD;100%;6.464457578606176;46.59168332896234;fr;01.07.2008
Bremblens;1121;00;273;Bremblens;5622;VD;100%;6.517322263647513;46.545784903205245;fr;01.07.2008
Romanel-sur-Morges;1122;00;274;Romanel-sur-Morges;5645;VD;100%;6.509539434709804;46.55557232743188;fr;01.07.2008
Aclens;1123;00;275;Aclens;5621;VD;100%;6.512088000118559;46.56741417565473;fr;01.07.2008
Gollion;1124;00;276;Gollion;5484;VD;100%;6.508556371635993;46.58464902719264;fr;01.07.2008
Monnaz;1125;00;263;Echichens;5634;VD;100%;6.4801846977146935;46.52833951693936;fr;01.07.2008
Vaux-sur-Morges;1126;00;264;Vaux-sur-Morges;5650;VD;100%;6.463746899073292;46.53563942551367;fr;01.07.2008
Clarmont;1127;00;265;Clarmont;5629;VD;100%;6.449657590356859;46.546879866861765;fr;01.07.2008
Reverolle;1128;00;266;Hautemorges;5656;VD;100%;6.438129922943401;46.541309089267074;fr;01.07.2008
Tolochenaz;1131;00;262;Tolochenaz;5649;VD;100%;6.477076262818001;46.50304266904667;fr;01.07.2008
Lully VD;1132;00;261;Lully (VD);5639;VD;100%;6.4634164751887475;46.505543971003455;fr;01.07.2008
Vufflens-le-Château;1134;00;279;Vufflens-le-Château;5653;VD;100%;6.468740788984865;46.526865851729916;fr;01.07.2008
Chigny;1134;02;5853;Chigny;5628;VD;100%;6.479018276;46.51694937172612;fr;01.07.2008
Denens;1135;00;280;Denens;5631;VD;100%;6.454978791;46.51815591723668;fr;01.07.2008
Bussy-Chardonney;1136;00;281;Hautemorges;5656;VD;100%;6.442501472354221;46.52977826737104;fr;01.07.2008
Sévery;1141;00;289;Hautemorges;5656;VD;100%;6.439210169987799;46.57525270742858;fr;01.07.2008
Pampigny;1142;00;288;Hautemorges;5656;VD;100%;6.427428186614652;46.580213354696106;fr;01.07.2008
Apples;1143;00;290;Hautemorges;5656;VD;100%;6.431254786683851;46.553429316615265;fr;01.07.2008
Ballens;1144;00;284;Ballens;5423;VD;100%;6.374550248;46.553613761032665;fr;01.07.2008
Bière;1145;00;291;Bière;5425;VD;99.31%;6.3349646382802955;46.53606159138187;fr;01.07.2008
Bière;1145;00;291;Saint-Livres;5435;VD;0.69%;6.361912507;46.52749490195131;fr;01.07.2008
Mollens VD;1146;00;286;Mollens (VD);5431;VD;100%;6.362384218862274;46.57713271249358;fr;01.07.2008
Montricher;1147;00;287;Montricher;5492;VD;100%;6.376897017241226;46.600102135195314;fr;01.07.2008
L'Isle;1148;00;293;L'Isle;5486;VD;100%;6.411515481640917;46.619753410523415;fr;01.07.2008
Mauraz;1148;02;5842;Mauraz;5488;VD;100%;6.422134836393398;46.605661684778084;fr;01.07.2008
Villars-Bozon;1148;03;7449;L'Isle;5486;VD;100%;6.407172858643171;46.60649848052259;fr;01.07.2008
Cuarnens;1148;04;556;Cuarnens;5479;VD;100%;6.438279701214233;46.624787100449126;fr;01.07.2008
Mont-la-Ville;1148;05;569;Mont-la-Ville;5491;VD;100%;6.408120525;46.64574903;fr;01.07.2008
La Praz;1148;06;568;La Praz;5758;VD;100%;6.426740458108496;46.66705744923458;fr;01.07.2008
Chavannes-le-Veyron;1148;07;5841;Chavannes-le-Veyron;5475;VD;98.33%;6.450930412859257;46.60636540888611;fr;01.07.2008
Chavannes-le-Veyron;1148;07;5841;La Chaux (Cossonay);5474;VD;1.67%;6.458619372150796;46.609211817735414;fr;01.07.2008
Moiry VD;1148;08;558;Moiry;5490;VD;100%;6.453600894;46.64886888882803;fr;01.07.2008
La Coudre;1148;09;8477;L'Isle;5486;VD;100%;6.402813596419056;46.63844079125453;fr;01.07.2008
Berolle;1149;00;285;Berolle;5424;VD;99.57%;6.337345577927415;46.55933161722467;fr;01.07.2008
Berolle;1149;00;285;Bière;5425;VD;0.43%;6.332611248247856;46.55232232739493;fr;01.07.2008
St-Prex;1162;00;294;Saint-Prex;5646;VD;98.55%;6.4520384797376815;46.48146137878399;fr;01.07.2008
St-Prex;1162;00;294;Lully (VD);5639;VD;1.45%;6.471226512557545;46.494302506181185;fr;01.07.2008
Etoy;1163;00;295;Etoy;5636;VD;100%;6.4174580526562295;46.484411896088375;fr;01.07.2008
Buchillon;1164;00;296;Buchillon;5623;VD;100%;6.4190230120299985;46.46978887;fr;01.07.2008
Allaman;1165;00;297;Allaman;5851;VD;100%;6.394470753348805;46.47023111612025;fr;01.07.2008
Perroy;1166;00;298;Perroy;5860;VD;98.82%;6.3613816364116555;46.467789351825594;fr;01.07.2008
Perroy;1166;00;298;Féchy;5427;VD;1.18%;6.377087734050057;46.467595651510926;fr;01.07.2008
Lussy-sur-Morges;1167;00;260;Lussy-sur-Morges;5640;VD;100%;6.449973313675212;46.50253977878444;fr;01.07.2008
Villars-sous-Yens;1168;00;283;Villars-sous-Yens;5652;VD;100%;6.4297343777811315;46.51053925038252;fr;01.07.2008
Yens;1169;00;282;Yens;5655;VD;100%;6.4194264105871435;46.52027114124442;fr;01.07.2008
Aubonne;1170;00;299;Aubonne;5422;VD;98.38%;6.389645376791424;46.493469307849146;fr;01.07.2008
Aubonne;1170;00;299;Lavigny;5637;VD;1.62%;6.404541371440097;46.48833421904498;fr;01.07.2008
Bougy-Villars;1172;00;303;Bougy-Villars;5426;VD;96.59%;6.354912436058531;46.480052867814805;fr;01.07.2008
Bougy-Villars;1172;00;303;Aubonne;5422;VD;3.41%;6.350041752209933;46.48523316824226;fr;01.07.2008
Féchy;1173;00;304;Féchy;5427;VD;100%;6.371557186719747;46.48065155752601;fr;01.07.2008
Montherod;1174;00;305;Aubonne;5422;VD;100%;6.365073163611898;46.49960886345744;fr;01.07.2008
Pizy;1174;02;5837;Aubonne;5422;VD;100%;6.352243714729952;46.49167777;fr;01.07.2008
Lavigny;1175;00;306;Lavigny;5637;VD;100%;6.404298501182768;46.50171863986966;fr;01.07.2008
St-Livres;1176;00;307;Saint-Livres;5435;VD;100%;6.387005471207778;46.50798307408152;fr;01.07.2008
Rolle;1180;00;309;Rolle;5861;VD;89.62%;6.335321242592259;46.45791244190388;fr;01.07.2008
Rolle;1180;00;309;Essertines-sur-Rolle;5856;VD;7.14%;6.320064532225428;46.472391272897696;fr;01.07.2008
Rolle;1180;00;309;Gilly;5857;VD;3.24%;6.318514798493401;46.451638944932824;fr;01.07.2008
Tartegnin;1180;02;5874;Tartegnin;5862;VD;92.31%;6.315586893284221;46.46666119164302;fr;01.07.2008
Tartegnin;1180;02;5874;Essertines-sur-Rolle;5856;VD;7.69%;6.317778089175612;46.466475957461526;fr;01.07.2008
Gilly;1182;00;312;Gilly;5857;VD;100%;6.2976215018892265;46.45790805486696;fr;01.07.2008
Bursins;1183;00;313;Bursins;5853;VD;96.69%;6.289148381838669;46.45231652794552;fr;01.07.2008
Bursins;1183;00;313;Gilly;5857;VD;3.32%;6.292598255;46.452909253886126;fr;01.07.2008
Luins;1184;00;315;Luins;5858;VD;100%;6.271389690555398;46.44284150855403;fr;01.07.2008
Vinzel;1184;01;314;Vinzel;5863;VD;100%;6.280489956235255;46.44755914046465;fr;01.07.2008
Mont-sur-Rolle;1185;00;316;Mont-sur-Rolle;5859;VD;99.90%;6.339616949451063;46.468821955896345;fr;01.07.2008
Mont-sur-Rolle;1185;00;316;Essertines-sur-Rolle;5856;VD;0.11%;6.324466720807901;46.46412182656535;fr;01.07.2008
Essertines-sur-Rolle;1186;00;317;Essertines-sur-Rolle;5856;VD;98.13%;6.316975754423664;46.49137044163329;fr;01.07.2008
Essertines-sur-Rolle;1186;00;317;Gilly;5857;VD;1.87%;6.2999405359952325;46.47762486921927;fr;01.07.2008
St-Oyens;1187;00;318;Saint-Oyens;5436;VD;100%;6.3063804822288185;46.49784164043096;fr;01.07.2008
Gimel;1188;00;320;Gimel;5428;VD;100%;6.306837786278425;46.51147597337722;fr;01.07.2008
St-George;1188;02;495;Saint-George;5434;VD;100%;6.262948518473601;46.51393558183652;fr;01.07.2008
Saubraz;1189;00;319;Saubraz;5437;VD;100%;6.329960814505495;46.51434025718258;fr;01.07.2008
Dully;1195;02;5873;Dully;5855;VD;100%;6.298919782830832;46.430868406920446;fr;01.07.2008
Bursinel;1195;03;6177;Bursinel;5852;VD;99.12%;6.307198299234053;46.440055913420615;fr;01.07.2008
Bursinel;1195;03;6177;Gilly;5857;VD;0.88%;6.309376259842153;46.447319871950924;fr;01.07.2008
Gland;1196;00;323;Gland;5721;VD;100%;6.270243403121644;46.421174808592525;fr;01.07.2008
Prangins;1197;00;324;Prangins;5725;VD;100%;6.248193135913248;46.39629433489133;fr;01.07.2008
Genève;1201;00;367;Genève;6621;GE;100%;6.143926540471793;46.20979682397654;fr;01.07.2008
Genève;1202;00;368;Genève;6621;GE;99.16%;6.136795894268586;46.21642642618293;fr;01.07.2008
Genève;1202;00;368;Pregny-Chambésy;6634;GE;0.85%;6.1342722339172555;46.232483662977685;fr;01.07.2008
Genève;1203;00;369;Genève;6621;GE;100%;6.1233866287129235;46.20818275031755;fr;01.07.2008
Genève;1204;00;370;Genève;6621;GE;100%;6.146531708726773;46.20214339838413;fr;01.07.2008
Genève;1205;00;371;Genève;6621;GE;100%;6.142333408670892;46.19562651680269;fr;01.07.2008
Genève;1206;00;372;Genève;6621;GE;100%;6.156046826821893;46.191509791485004;fr;01.07.2008
Genève;1207;00;373;Genève;6621;GE;100%;6.160009365878668;46.203151648615055;fr;01.07.2008
Genève;1208;00;374;Genève;6621;GE;100%;6.167096761554475;46.19817556;fr;01.07.2008
Genève;1209;00;376;Genève;6621;GE;98.00%;6.123878172033255;46.221620809308796;fr;01.07.2008
Genève;1209;00;376;Vernier;6643;GE;1.45%;6.113977926866725;46.21832014258859;fr;01.07.2008
Genève;1209;00;376;Le Grand-Saconnex;6623;GE;0.54%;6.124416516570141;46.226161504351005;fr;01.07.2008
Grand-Lancy;1212;00;411;Lancy;6628;GE;91.49%;6.119436877576017;46.178689880204566;fr;01.07.2008
Grand-Lancy;1212;00;411;Onex;6631;GE;8.21%;6.106944005632722;46.17634780526312;fr;01.07.2008
Grand-Lancy;1212;00;411;Plan-les-Ouates;6633;GE;0.30%;6.1008365559592574;46.17437163851772;fr;01.07.2008
Petit-Lancy;1213;00;415;Lancy;6628;GE;97.53%;6.117374419544524;46.19162123;fr;01.07.2008
Petit-Lancy;1213;00;415;Genève;6621;GE;2.47%;6.119352207133015;46.19874291144972;fr;01.07.2008
Onex;1213;03;418;Onex;6631;GE;99.80%;6.102568356643493;46.182602872437535;fr;01.07.2008
Onex;1213;03;418;Lancy;6628;GE;0.20%;6.110371491952584;46.18343278849323;fr;01.07.2008
Vernier;1214;00;420;Vernier;6643;GE;90.30%;6.080527038073171;46.21305519147445;fr;01.07.2008
Vernier;1214;00;420;Satigny;6638;GE;7.98%;6.066805219647821;46.21243036597109;fr;01.07.2008
Vernier;1214;00;420;Meyrin;6630;GE;1.72%;6.0705766415939495;46.21978240737312;fr;01.07.2008
Genève;1215;00;421;Le Grand-Saconnex;6623;GE;50.91%;6.111281152690926;46.23534658160377;fr;01.07.2008
Genève;1215;00;421;Meyrin;6630;GE;49.09%;6.099898410091109;46.22636819185509;fr;01.07.2008
Cointrin;1216;00;423;Meyrin;6630;GE;69.88%;6.106339804978334;46.22430314301264;fr;01.07.2008
Cointrin;1216;00;423;Vernier;6643;GE;30%;6.112766674258419;46.22281336367335;fr;01.07.2008
Cointrin;1216;00;423;Le Grand-Saconnex;6623;GE;0.12%;6.114084119811813;46.224070404260374;fr;01.07.2008
Meyrin;1217;00;424;Meyrin;6630;GE;100%;6.077141852056891;46.23024359221291;fr;01.07.2008
Le Grand-Saconnex;1218;00;428;Le Grand-Saconnex;6623;GE;99.62%;6.118730323923908;46.22971190167228;fr;01.07.2008
Le Grand-Saconnex;1218;00;428;Genève;6621;GE;0.38%;6.132181889817313;46.23099300094014;fr;01.07.2008
Le Lignon;1219;00;429;Vernier;6643;GE;100%;6.099538318109193;46.20467235;fr;01.07.2008
Aïre;1219;10;430;Vernier;6643;GE;100%;6.098677463386357;46.198589206486844;fr;01.07.2008
Châtelaine;1219;12;432;Vernier;6643;GE;100%;6.109691769887955;46.21338443413056;fr;01.07.2008
Les Avanchets;1220;00;435;Vernier;6643;GE;100%;6.1090065920069225;46.22073582888652;fr;01.07.2008
Vésenaz;1222;00;436;Collonge-Bellerive;6616;GE;100%;6.202772231942447;46.241765317042656;fr;01.07.2008
Cologny;1223;00;438;Cologny;6617;GE;100%;6.187352505163855;46.21822189288185;fr;01.07.2008
Chêne-Bougeries;1224;00;439;Chêne-Bougeries;6612;GE;100%;6.185728409775809;46.19983250532291;fr;01.07.2008
Chêne-Bourg;1225;00;440;Chêne-Bourg;6613;GE;100%;6.197898365999488;46.19739394814612;fr;01.07.2008
